program_id,age,average_rating,backdrop_path,bookmark_cnt,broadcasting_day,broadcasting_episode,broadcasting_station,end_flag,first_air_date,poster_img,program_num,rating_cnt,summary,title
501,,4.9,https://image.tmdb.org/t/p/original/5HmLBTqDYI6W5CKjCA7KKNJExiv.jpg,,,,KBS2,b'\x00',2015-08-14 15:00:00,https://image.tmdb.org/t/p/original/5R0C1vrhYibcPKhKZP6uiyG8pKP.jpg,63602,,세상에 다시없는 앙숙 모녀를 통해 징글징글하면서도 짠한 모녀간 애증의 이야기를 그린 드라마,"부탁해요, 엄마"
502,,7.0,https://image.tmdb.org/t/p/original/ltnApA9rg54hJ2rbwPck14TOdwp.jpg,,,,MBC,b'\x00',2017-01-17 15:00:00,https://image.tmdb.org/t/p/original/cyZxexFviO7agdpIwptdtA4GyOb.jpg,68891,,비행기 추락 사고로 무인도에 떨어진 9명의 조난자와 1명의 목격자. 그 사이에서 벌어지는 일들의 진실을 파헤쳐나간다.,미씽나인
503,,7.8,https://image.tmdb.org/t/p/original/s88cNH0LriVZI3idz4XV1ONJz8N.jpg,,,,SBS,b'\x00',2013-04-07 15:00:00,https://image.tmdb.org/t/p/original/julIxa0KZ1CKVKSKX3vr8VI050p.jpg,47322,,"궁중 여인들의 식상한 암투 이야기가 아닌 숙종 이순의 정치적 카리스마와 절대 사랑, 그리고 전문적 궁중 직업인으로서 신분의 굴레를 뛰어넘고자 했던 여성 장옥정의 이야기를 재조명한 드라마","장옥정, 사랑에 살다"
504,,7.5,https://image.tmdb.org/t/p/original/tHrTqHIRXisFsx5U0exbdPysEMb.jpg,,,,Viki,b'\x00',2021-01-21 15:00:00,https://image.tmdb.org/t/p/original/f42Y7h46ysNWex5xEuZjfvUbeHL.jpg,115663,,타고난 외모와 재능으로 어디서나 돋보이는 스타 배우. 오직 목표를 향해 묵묵히 걸어가는 훈남 셰프. 달라도 너무 다른 두 남자가 서로에게 이끌린다. 그리고 사랑의 달콤함과 씁쓸함을 모두 맛본다.,나의 별에게
505,,7.0,https://image.tmdb.org/t/p/original/gDHaejQAlm8AjqP3Oq2iCLiAlKw.jpg,,,,KBS1,b'\x00',2000-03-31 15:00:00,https://image.tmdb.org/t/p/original/4b8kej7ge8mYP9KQPzIEJQLNxtx.jpg,17039,,고려를 건국한 왕건의 이야기를 다룬 드라마,태조 왕건
506,,7.1,https://image.tmdb.org/t/p/original/rQOwp2ZfM3T6AFzjUbxd8L7inkg.jpg,,,,KBS2,b'\x00',2014-06-24 15:00:00,https://image.tmdb.org/t/p/original/x2hvKvx5dhe2xPslL07YtYJ27Oj.jpg,61184,,조선의 마지막 칼잡이가 총잡이로 거듭나 민중의 영웅이 돼가는 과정을 그린 감성액션로맨스,조선 총잡이
507,,7.467,https://image.tmdb.org/t/p/original/xRD5eWlTDzimZez24U1uShrJDsD.jpg,,,,MBC,b'\x00',2022-04-22 15:00:00,https://image.tmdb.org/t/p/original/7KpmMdiHHVSpO5V5pPhqt5kGNDg.jpg,194820,,"나는 이 시대 최고의 마술사 차차웅. 내 마술엔 누구에게도 들켜선 안 되는 초자연적인 비밀이 있다. 그런데 공연장에 난입한 순경 고슬해 때문에 비밀이 만천하에 까발려질 판! 게다가 이 여자, 나보고 뺑소니범이라고? 카리스마 마술사와 신통력을 지닌 열혈 순경의 귀신 공조 코믹 수사극.","지금부터, 쇼타임!"
508,,0.0,https://image.tmdb.org/t/p/original/n4PwDU6NfHomon3oVd5lSv1RKRp.jpg,,,,MBC,b'\x00',2022-05-11 15:00:00,https://image.tmdb.org/t/p/original/cZZ8aYB6h7sd9NEaOS9ZIutHSI0.jpg,156799,,"스타의 가족 노래를 듣고 스타를 추리하는 음악쇼

힌트는 오로지 비주얼과 목소리뿐!  스타의 가족인 ‘DNA싱어’의 목소리를 듣고 스타를 추리하라!  판타스틱 듀엣 무대로 밝혀지는 스타의 정체!

우리가 몰랐던 스타의 감동적인 가족 이야기까지

과연, 최고의 스타 DNA를 보여줄 판타스틱 패밀리는 누가 될 것인가?",판타스틱 패밀리-DNA 싱어
509,,7.0,https://image.tmdb.org/t/p/original/stTddRelld2Pg50i9eS19xXJt3w.jpg,,,,SBS,b'\x00',2018-05-06 15:00:00,https://image.tmdb.org/t/p/original/kKt9aYn2sZTPkkDx1T7JKV3wHwK.jpg,78797,,"달궈진 웍 안의 펄펄 끓는 기름보다 더 뜨거운 세 남녀의 진한 연애담으로 침샘까지 깊이 자극하는 로코믹 주방 활극이다. 경고 '절대 빈속으로 보지 말 것'

주 무대는 동네 중국집 ‘헝그리웍’.  남녀 주인공을 비롯해 이 드라마에는 미친 듯이 일하지 않는 등장인물은 없다.  펜대 굴리는 남자도 없고, 모니터 앞에서 자판 두드리는 여자도 사양한다.  회의는 욕설이 오가야 제대로요.  깨진 접시 너머로 불덩인지 쇳덩인지 웍이 날아다니고, 칼이 날아다닌다.  전쟁터 같은 이곳에서, 목숨 걸고 만든 짜장면은 그야말로 천하일미!  주방이라는 6평 직장 내에서 살아남고자 하는 인생들의 신개념 ‘주방 활극’이다!!",기름진 멜로
510,,5.9,https://image.tmdb.org/t/p/original/z5fr0L3iGz93eKMtSuRztWPDO1o.jpg,,,,SBS,b'\x00',2017-11-21 15:00:00,https://image.tmdb.org/t/p/original/2VHSWgQ6SQnEBxJfhvi6NNWxUAr.jpg,74831,,오빠의 비밀을 밝히려는 법원의 자타 공인 '꼴통 판사' 이정주와 그녀에게 휘말리게 된 차도남 엘리트 판사 사의현의 이판사판 정의 찾기 프로젝트,이판사판
511,,9.2,https://image.tmdb.org/t/p/original/aJCi0t4DbvGO3U3lwz9HuAQr4hc.jpg,,,,KBS2,b'\x00',2016-09-20 15:00:00,https://image.tmdb.org/t/p/original/yx5MR25Cl5I8lVZM8CEDSYePsfY.jpg,67276,,"삶에, 두 번째 사춘기가 온다. 삶의 중반, 인생의 반환점에 도달했지만 현실에 흔들리는 30대, 파도처럼 몰려오는 삶의 부침 속에서 우리에게 필요한 것은, 그저 작은 한 마디다. 순간의 기댐. 그 어떤 것들. 그리고 서슴없이 그것을 전하는 단 한 사람. 지금 이 사람이 꼭 필요하고, 이 사람이 주는 ‘위로’가 절실하다. 그래서, 노력한다. 보는 이들이 응원해주고 싶을 만큼. 세상에서 가장 따뜻한 위로, 가장 절절한 사랑이 온다!",공항 가는 길
512,,7.4,https://image.tmdb.org/t/p/original/vagFPyaSzeY3UDr7ZBR9HY1on12.jpg,,,,KBS2,b'\x00',2005-10-30 15:00:00,https://image.tmdb.org/t/p/original/8Nrq8Y4qqx2E6FfLjDQnu5LXECq.jpg,2619,,"이종 격투기 선수인 복구는 일 년 내내 허름한 트레이닝복 차림에 얼굴엔 상처투성이지만 여자들은 그의 섹시한 매력에 빠져 헤어날 줄을 모른다. 그러나, 복구에게 여자는 단 한 명뿐이다. 10년 전, 죽을 뻔 한 복구를 구하고 그 대가로 얼굴과 몸에 화상흉터를 얻은 다정. 복구만을 바라보고 억척스레 살아가고 있는 한다정을 책임지는 것만이 복구가 할 수 있는 유일한 선택이다.  유명 영화배우인 차은석은 5년간 사귀었던 강민구와 하루아침에 연락이 끊기고 2년간을 만나지 못했다. 엉뚱하지만 귀엽고 순수하기 짝이 없는 은석은 민구만을 그리워하며 하루하루를 살고 있었는데.. 한 행사장에서 술에 취해 벌인 재벌 2세인 김준성과의 해프닝으로 세상을 떠들썩하게 만들게 된다. 한편, 10년 전에 헤어진 유일한 혈육인 형을 만나게 된 복구는..",이 죽일 놈의 사랑
513,,8.125,https://image.tmdb.org/t/p/original/A68WMr4xWqQNXhwwluWE8zBJvWs.jpg,,,,Disney+,b'\x00',2022-01-25 15:00:00,https://image.tmdb.org/t/p/original/55SX8h05Vm2n4AEi1ncSXS96Qhh.jpg,126484,,"경찰이라는 꿈을 안고 당당하게 경찰대학에 입성한 청춘들 대학생이 되었다는 기쁨도 잠시. 상상을 초월하는 훈련과 엄격한 규칙 속에서 하루 하루가 지옥같지만 동기들과 함께라면 두려울 것이 없는 청춘들이다. 한편, 모두의 기대를 한 몸에 받는 수석 입학생 승현과 직진본능 충만한 추가 합격생 은강은 사사건건 부딪히며 경찰대학 사건사고의 중심에 서고 그 안에서 감춰져왔던 진실의 단서를 찾게되는데…",너와 나의 경찰수업
514,,6.0,https://image.tmdb.org/t/p/original/y3T2LfVobOL5fdDRpJRr1bjlFXH.jpg,,,,JTBC,b'\x00',2015-09-17 15:00:00,https://image.tmdb.org/t/p/original/tkbl4I90Fqeutu5vprcC3fu32BI.jpg,63910,,절망적인 재난 상황 속에서 생명과 신념을 위해 활약하는 DMAT와 구조대 그리고 그 안에서 피어나는 인간애와 생명의 소중함을 다룬 드라마,디 데이
515,,10.0,https://image.tmdb.org/t/p/original/qZ7CdO7rkH0KyCxvZBoP4Mm2cQL.jpg,,,,EBS 1,b'\x00',2021-08-29 15:00:00,https://image.tmdb.org/t/p/original/lj46PSaBziqCqbGXlmnXN325biA.jpg,132544,,"2021년 8월 EBS에서 방영을 시작한 시사 교양 프로그램. 교육부, 국가평생교육진흥원과 EBS가 공동 기획한 이번 강연은 한국형 온라인 공개강좌(K-MOOC) 사업의 하나로, 코로나19 장기화에 계층간 지식 격차가 심화하고 소셜미디어를 통해 가짜 정보가 쏟아지는 가운데, 세계 최고 수준의 지식을 대중적으로 보급하자는 취지로 기획됐다. 노벨 경제학상에 빛나는 폴 크루그먼, 정의란 무엇인가의 마이클 샌델, 세계적 지휘자 겸 피아니스트 다니엘 바렌보임 등 지금 현재 세계를 이끌고 있는 지성들의 위대한 생각을 듣는다.","위대한 수업, 그레이트 마인즈"
516,,7.6,https://image.tmdb.org/t/p/original/1C47AUHRsS47v4TMhElBHaANmqr.jpg,,,,SBS,b'\x00',2011-05-08 15:00:00,https://image.tmdb.org/t/p/original/rCmqu8GbfrYdbxHLT7w8B7tmcXM.jpg,39261,,그녀의 이름은 공아정. 아주 잘 났지만 결혼 같은 건 생각 없다. 결혼하지 않아서 영원히 자유로울 줄 알았는데 어느날 갑자기 이게 거추장스럽다. 아줌마란 이름으로 늙어가게 될 친구들을 비웃었는데 이러다 한낱 아줌마보다 못한 인간이 돼버릴까 불안하다. 죽어라고 공부하고 죽어라 일하고 엄살떨지 않고 열심히 달렸는데 온갖 사회적 혜택에서 최하위 순위로 밀리고 차별 받고 있다.,내게 거짓말을 해봐
517,,8.0,https://image.tmdb.org/t/p/original/apZaPnoNZxC8DETSjFSll7ivu5x.jpg,,,,MBC,b'\x00',2021-09-16 15:00:00,https://image.tmdb.org/t/p/original/stIsbtXpWpEZPfKGt4sKfOQRtuX.jpg,127358,,2021년 7월 MBC에서 방영을 시작한 스릴러. 국정원 최고의 현장 요원으로 불리는 한 자루 예리한 칼과 같은 사내. 오로지 조직과 임무에 자신의 모든 걸 걸어온 그에게 예상치 못한 사고가 발생한다. 그리고 그것을 계기로 그때까지 자신도 몰랐던 정보기관의 어두운 이면을 목도하게 되고 처음부터 모든 것을 회의하기 시작한다. 이 드라마는 국정원 최고의 요원이라고 불리는 사내가 자신을 나락으로 떨어뜨린 내부 배신자의 존재를 찾아 나서게 되면서 조직 이면에 존재하고 있던 거대한 괴물과 맞서게 된다는 이야기이다. 그리고 그것을 위해서 자신의 내면에 자리하고 있던 깊은 어둠과 대면하게 되는 과정을 그린 기록이다.,검은태양
518,,8.2,https://image.tmdb.org/t/p/original/mvgqQBSAru4zsuEkYREEBqgFrSp.jpg,,,,SBS,b'\x00',2014-07-22 15:00:00,https://image.tmdb.org/t/p/original/pqwLrG9gwmNmWFIAldlCPMnRoJ4.jpg,62763,,정신과를 배경으로 마음의 병을 짊어지고 사는 현대인들의 삶과 사랑을 그린 작품,"괜찮아, 사랑이야"
519,,0.0,https://image.tmdb.org/t/p/original/rjBwABN6PTN11ah4pl4mua7fp9W.jpg,,,,JTBC,b'\x00',2022-09-23 15:00:00,https://image.tmdb.org/t/p/original/jSulOTdgL8wPs4tybxAtzyLn5ro.jpg,133772,,세습을 꿈꾸는 대한민국 최고 법복 귀족들의 추잡한 스캔들을 다루는 드라마,디 엠파이어: 법의 제국
520,,8.0,https://image.tmdb.org/t/p/original/m9zcIqP5XmgZ7BLe1xJfevz4PLN.jpg,,,,KBS2,b'\x00',2014-11-18 15:00:00,https://image.tmdb.org/t/p/original/8p9l9ZQGne95uqR2QEF4Q24BK0V.jpg,61830,,"서자 출신으로 세자에 올라 16년간 폐위와 살해 위협에 시달렸던 광해가 관상을 무기 삼아 운명을 극복하고, 왕이 되기까지의 과정을 그린 드라마",왕의 얼굴
